ligand_id,weighted_coverage_pct,native_weighted_coverage_pct,screen_rank,native_rank,rank_shift,abs_rank_shift
ZINCf5000000ZvnS,10.781810937293738,22.280050230501065,394,162,232,232
ZINCf5000000ZvpQ,11.493713841884304,22.280050230501065,177,163,14,14
ZINCf5000000Zvpt,11.42823710431012,22.280050230501065,192,164,28,28
ZINCf5000000Zw0T,7.41614589522814,22.280050230501065,635,165,470,470
ZINCf5000000Zw0i,10.83539683007997,22.280050230501065,373,166,207,207
ZINCf5000000Zw6u,8.513370356445707,22.280050230501065,608,167,441,441
ZINCf5000000Zw9J,12.880626623751075,22.280050230501065,35,168,-133,133
ZINCf5000000ZwZ0,8.273061047184557,22.280050230501065,616,169,447,447
ZINCf5000000Zx8i,11.116747734555371,22.280050230501065,275,170,105,105
ZINCf5000000ZxHH,11.589186616556091,22.280050230501065,160,171,-11,11
ZINCf5000000ZxS3,12.432776349942577,22.280050230501065,67,172,-105,105
ZINCf5000000Zxfk,11.26596146655734,22.280050230501065,230,173,57,57
ZINCf5000000Zybf,8.715250902974086,22.280050230501065,602,174,428,428
ZINCf5000000Zyek,11.009182646331071,22.280050230501065,311,175,136,136
ZINCf5000000Zyjg,9.700728363312583,22.280050230501065,535,176,359,359
ZINCf5000000ZyoW,10.652070148724796,22.280050230501065,422,177,245,245
ZINCf5000000a2oT,8.693919737785148,22.280050230501065,603,178,425,425
ZINCf5000000a5LD,11.000751091691637,22.280050230501065,317,179,138,138
ZINCf5000000a5SA,11.233152772885823,22.280050230501065,241,180,61,61
ZINCf5000000a65h,10.910241550778556,22.280050230501065,340,181,159,159
ZINCf5000000a6oi,8.905621296638344,22.280050230501065,593,182,411,411
ZINCf5000000a6s8,11.264710452363133,22.280050230501065,231,183,48,48
ZINCf5000000a7Ht,7.859531643787444,22.280050230501065,623,184,439,439
ZINCf5000000a7Mb,10.738848096398268,22.280050230501065,409,185,224,224
ZINCf5000000a7Vr,11.053826318147523,22.280050230501065,293,186,107,107
ZINCf5000000a7as,11.304378926349209,22.280050230501065,214,187,27,27
ZINCf5000000a8O2,9.078800755630851,22.280050230501065,586,188,398,398
ZINCf5000000a8SQ,10.051555392919417,22.280050230501065,505,189,316,316
ZINCf5000000a8m2,11.148428316176004,22.280050230501065,267,190,77,77
ZINCf5000000a8p7,11.825221125253528,22.280050230501065,123,191,-68,68
ZINCf5000000a9Kq,11.1884816845817,22.280050230501065,255,192,63,63
ZINCf5000000a9sb,9.181002018215963,22.280050230501065,581,193,388,388
ZINCf5000000aapf,9.461262335643188,22.280050230501065,560,194,366,366
ZINCf5000000acCI,12.859644403341536,22.280050230501065,37,195,-158,158
ZINCf5000000aeJe,9.637904720471486,22.280050230501065,542,196,346,346
ZINCf5000000aeMs,12.83264762265543,22.280050230501065,40,197,-157,157
ZINCf5000000af9g,7.234873584021208,22.280050230501065,644,198,446,446
ZINCf5000000agpd,10.523533181381133,22.280050230501065,448,199,249,249
ZINCf5000000agy5,10.176396415435711,22.280050230501065,497,200,297,297
ZINCf5000000ahkq,7.258905513919021,22.280050230501065,639,201,438,438
ZINCf5000000ahlI,9.49715676190778,22.280050230501065,555,202,353,353
ZINCf5000000ahqO,9.57343516597998,22.280050230501065,550,203,347,347
ZINCf5000000ahrf,9.74580065306325,22.280050230501065,531,204,327,327
ZINCf5000000aiS8,12.93804286411768,22.280050230501065,24,205,-181,181
ZINCf5000000aivi,12.33770254486718,22.280050230501065,76,206,-130,130
ZINCf5000000akJ4,11.7148592452008,22.280050230501065,141,207,-66,66
ZINCf5000000akQA,9.210643395723576,22.280050230501065,580,208,372,372
ZINCf5000000akSA,11.492758049936503,22.280050230501065,178,209,-31,31
ZINCf5000000akYj,10.7721055716878,22.280050230501065,399,210,189,189
ZINCf5000000al1T,10.28879055645105,22.280050230501065,481,211,270,270
ZINCf5000000amTZ,12.494697057466176,22.280050230501065,64,212,-148,148
ZINCf5000000anCk,10.992882114526555,22.280050230501065,322,213,109,109
ZINCf5000000anHV,7.712117381073469,22.280050230501065,631,214,417,417
ZINCf5000000anJ3,8.508002902421463,22.280050230501065,610,215,395,395
ZINCf5000000anLw,10.614608323543592,22.280050230501065,430,216,214,214
ZINCf5000000aoMF,10.504378616885884,22.280050230501065,452,217,235,235
ZINCf5000000aork,9.090372173184432,22.280050230501065,585,218,367,367
ZINCf5000000ap7n,9.497600996278685,22.280050230501065,554,219,335,335
ZINCf5000000apEz,10.960669988049816,22.280050230501065,329,220,109,109
ZINCf5000000apyB,11.20531807265249,22.280050230501065,252,221,31,31
ZINCf5000000apyC,9.098734139448034,22.280050230501065,584,222,362,362
ZINCf5000000aq5e,9.397370886371698,22.280050230501065,569,223,346,346
ZINCf5000000aqX5,12.27217682196871,22.280050230501065,79,224,-145,145
ZINCf5000000aqbW,11.37484814458736,22.280050230501065,200,225,-25,25
ZINCf5000000aqik,7.771930910897521,22.280050230501065,625,226,399,399
ZINCf5000000arJe,11.588900557207497,22.280050230501065,161,227,-66,66
ZINCf5000000arUA,9.336497032872922,22.280050230501065,575,228,347,347
ZINCf5000000arjT,11.327596056384518,22.280050230501065,210,229,-19,19
ZINCf5000000arz3,10.390322845470642,22.280050230501065,466,230,236,236
ZINCf5000000asXl,9.838503920382786,22.280050230501065,522,231,291,291
ZINCf5000000atg4,10.15756125314306,22.280050230501065,499,232,267,267
ZINCf5000000atvh,12.700647053791412,22.280050230501065,46,233,-187,187
ZINCf5000000atxq,10.92196973089408,22.280050230501065,337,234,103,103
ZINCf5000000auGZ,8.085343440951378,22.280050230501065,619,235,384,384
ZINCf5000000auJr,9.809260552077022,22.280050230501065,526,236,290,290
ZINCf5000000avCD,11.03817781581546,22.280050230501065,301,237,64,64
ZINCf5000000avWU,9.015843342578444,22.280050230501065,589,238,351,351
ZINCf5000000avYO,8.509334020564078,22.280050230501065,609,239,370,370
ZINCf5000000awAD,9.35635010575513,22.280050230501065,574,240,334,334
ZINCf5000000awZJ,11.20175246039073,22.280050230501065,253,241,12,12
ZINCf5000000awfX,10.452679466039708,22.280050230501065,460,242,218,218
ZINCf5000000ayWb,11.9493804507548,22.280050230501065,111,243,-132,132
ZINCf5000000aynO,11.28074030923288,22.280050230501065,222,244,-22,22
ZINCf5000000az4F,11.168788577335848,22.280050230501065,261,245,16,16
ZINCf5000000azFA,12.397417517546955,22.280050230501065,72,246,-174,174
ZINCf5000000azI3,11.057799293809389,22.280050230501065,291,247,44,44
ZINCf50000017CrS,11.639108428262263,22.280050230501065,150,248,-98,98
ZINCf50000017DpE,11.847441212110278,22.280050230501065,120,249,-129,129
ZINCf50000017E68,10.81337571644421,22.280050230501065,381,250,131,131
ZINCf50000017Jhi,11.018596799566089,22.280050230501065,305,251,54,54
ZINCf50000017K5p,10.20449855869674,22.280050230501065,489,252,237,237
ZINCf50000017KCJ,10.20585507873602,22.280050230501065,488,253,235,235
ZINCf50000017KE2,11.123691170277972,22.280050230501065,272,254,18,18
ZINCf50000017KI9,10.19531067674718,22.280050230501065,493,255,238,238
ZINCf50000017KWF,8.581683224549769,22.280050230501065,606,256,350,350
ZINCf50000017KxW,11.82345026969544,22.280050230501065,124,257,-133,133
ZINCf50000017MlU,8.421440302017801,22.280050230501065,611,258,353,353
ZINCf50000017N9Y,11.598908418498766,22.280050230501065,156,259,-103,103
ZINCf50000017QPP,8.756750931531338,22.280050230501065,600,260,340,340
ZINCf50000017RPy,10.77521115183215,22.280050230501065,395,261,134,134
ZINCf50000017US3,9.482419294293669,22.280050230501065,558,262,296,296
ZINCf50000017VdI,13.396038216557242,22.280050230501065,4,263,-259,259
ZINCf50000017WSx,12.153726916096568,22.280050230501065,92,264,-172,172
ZINCf50000017X20,11.159979326049664,22.280050230501065,264,265,-1,1
ZINCf50000017ZNT,10.3587510375932,22.280050230501065,473,266,207,207
ZINCf50000017ZPr,11.232422420599027,22.280050230501065,242,267,-25,25
ZINCf50000017zMg,10.804911648558022,22.280050230501065,384,268,116,116
ZINCf500000180PF,12.166943305859087,22.280050230501065,88,269,-181,181
ZINCf500000181Rc,12.995308439215806,22.280050230501065,18,270,-252,252
ZINCf500000181ba,10.039301789710285,22.280050230501065,506,271,235,235
ZINCf500000182sf,10.574870862097482,22.280050230501065,435,272,163,163
ZINCf500000183Qb,12.898622217439623,22.280050230501065,33,273,-240,240
ZINCf500000184cO,12.253768112041442,22.280050230501065,82,274,-192,192
ZINCf500000185bm,12.036598227903031,22.280050230501065,101,275,-174,174
ZINCf5000001876E,12.07722975607584,22.280050230501065,96,276,-180,180
ZINCf500000187oG,11.573062607289186,22.280050230501065,164,277,-113,113
ZINCf500000188HS,10.87521528212366,22.280050230501065,355,278,77,77
ZINCf50000018921,11.278083446513218,22.280050230501065,224,279,-55,55
ZINCf500000189kz,8.733508792599121,22.280050230501065,601,280,321,321
ZINCf50000018d9J,11.464787999022214,22.280050230501065,186,281,-95,95
ZINCf50000018dMj,10.736618118935144,22.280050230501065,410,282,128,128
ZINCf5000001XO1v,11.046386911375588,22.280050230501065,298,283,15,15
ZINCf5000001oiYi,10.178564037937791,22.280050230501065,495,284,211,211
ZINCf50000024Ovi,11.4886764323992,22.280050230501065,179,285,-106,106
ZINCf500000259qx,8.167957300166,22.280050230501065,618,286,332,332
ZINCf50000026UOy,11.172659314058231,22.280050230501065,257,287,-30,30
ZINCf50000026iBP,7.502428334545907,22.280050230501065,634,288,346,346
ZINCf50000027Ght,11.115836750356666,22.280050230501065,276,289,-13,13
ZINCf50000027gTG,13.673597188044427,22.280050230501065,2,290,-288,288
ZINCf50000028Jpi,11.018391014977189,22.280050230501065,306,291,15,15
ZINCf50000028pLA,9.671418721826656,22.280050230501065,540,292,248,248
ZINCf50000028xDo,10.457043478251569,22.280050230501065,459,293,166,166
ZINCf50000029MNW,11.495499908117212,22.280050230501065,175,294,-119,119
ZINCf5000002IBXJ,7.715160738723221,22.280050230501065,630,295,335,335
ZINCf5000002JnFX,11.22595121910446,22.280050230501065,247,296,-49,49
ZINCf5000002JnV2,10.087472663624446,22.280050230501065,503,297,206,206
ZINCf5000002KqM6,8.894907260163013,22.280050230501065,594,298,296,296
ZINCf5000002KsYe,11.596007394803708,22.280050230501065,157,299,-142,142
