structure_id,state,ligand_id,final_rank,seed,best_affinity,status,returncode
6LN2,inactive,ZINCk5000003XjkE,7,29,-5.762,scored,0
6LN2,inactive,ZINCk5000003XjkE,7,47,-5.665,scored,0
6LN2,inactive,ZINCk800000gvPBH,8,11,-5.473,scored,0
6LN2,inactive,ZINCk800000gvPBH,8,29,-5.669,scored,0
6LN2,inactive,ZINCk800000gvPBH,8,47,-6.023,scored,0
6LN2,inactive,ZINCk600000Ja5bY,9,11,-7.223,scored,0
6LN2,inactive,ZINCk600000Ja5bY,9,29,-7.243,scored,0
6LN2,inactive,ZINCk600000Ja5bY,9,47,-7.242,scored,0
6LN2,inactive,ZINCk600000y8tEo,10,11,-5.641,scored,0
6LN2,inactive,ZINCk600000y8tEo,10,29,-6.268,scored,0
6LN2,inactive,ZINCk600000y8tEo,10,47,-6.283,scored,0
5VEW,inactive,ZINCk700000Gfz1H,1,11,-5.153,scored,0
5VEW,inactive,ZINCk700000Gfz1H,1,29,-5.514,scored,0
5VEW,inactive,ZINCk700000Gfz1H,1,47,-5.489,scored,0
5VEW,inactive,ZINCk700001bQgxo,2,11,-6.063,scored,0
5VEW,inactive,ZINCk700001bQgxo,2,29,-6.178,scored,0
5VEW,inactive,ZINCk700001bQgxo,2,47,-6.223,scored,0
5VEW,inactive,ZINCk500000BlHKL,3,11,-5.832,scored,0
5VEW,inactive,ZINCk500000BlHKL,3,29,-5.878,scored,0
5VEW,inactive,ZINCk500000BlHKL,3,47,-5.734,scored,0
5VEW,inactive,ZINCj600000JWMq0,4,11,-7.065,scored,0
5VEW,inactive,ZINCj600000JWMq0,4,29,-6.857,scored,0
5VEW,inactive,ZINCj600000JWMq0,4,47,-6.983,scored,0
5VEW,inactive,ZINCk500000gdMQW,5,11,-6.024,scored,0
5VEW,inactive,ZINCk500000gdMQW,5,29,-6.128,scored,0
5VEW,inactive,ZINCk500000gdMQW,5,47,-6.117,scored,0
5VEW,inactive,ZINCk600000EmAGZ,6,11,-7.135,scored,0
5VEW,inactive,ZINCk600000EmAGZ,6,29,-7.138,scored,0
5VEW,inactive,ZINCk600000EmAGZ,6,47,-7.138,scored,0
5VEW,inactive,ZINCk5000003XjkE,7,11,-6.124,scored,0
5VEW,inactive,ZINCk5000003XjkE,7,29,-5.876,scored,0
5VEW,inactive,ZINCk5000003XjkE,7,47,-5.901,scored,0
5VEW,inactive,ZINCk800000gvPBH,8,11,-6.354,scored,0
5VEW,inactive,ZINCk800000gvPBH,8,29,-6.398,scored,0
5VEW,inactive,ZINCk800000gvPBH,8,47,-6.319,scored,0
5VEW,inactive,ZINCk600000Ja5bY,9,11,-7.206,scored,0
5VEW,inactive,ZINCk600000Ja5bY,9,29,-7.124,scored,0
5VEW,inactive,ZINCk600000Ja5bY,9,47,-7.19,scored,0
5VEW,inactive,ZINCk600000y8tEo,10,11,-5.488,scored,0
5VEW,inactive,ZINCk600000y8tEo,10,29,-6.023,scored,0
5VEW,inactive,ZINCk600000y8tEo,10,47,-6.03,scored,0
7KI0,active,ZINCk700000Gfz1H,1,11,-5.368,scored,0
7KI0,active,ZINCk700000Gfz1H,1,29,-5.457,scored,0
7KI0,active,ZINCk700000Gfz1H,1,47,-5.331,scored,0
7KI0,active,ZINCk700001bQgxo,2,11,-6.083,scored,0
7KI0,active,ZINCk700001bQgxo,2,29,-5.789,scored,0
7KI0,active,ZINCk700001bQgxo,2,47,-5.559,scored,0
7KI0,active,ZINCk500000BlHKL,3,11,-6.084,scored,0
7KI0,active,ZINCk500000BlHKL,3,29,-5.884,scored,0
7KI0,active,ZINCk500000BlHKL,3,47,-5.914,scored,0
7KI0,active,ZINCj600000JWMq0,4,11,-7.128,scored,0
7KI0,active,ZINCj600000JWMq0,4,29,-7.149,scored,0
7KI0,active,ZINCj600000JWMq0,4,47,-7.118,scored,0
7KI0,active,ZINCk500000gdMQW,5,11,-6.557,scored,0
7KI0,active,ZINCk500000gdMQW,5,29,-6.563,scored,0
7KI0,active,ZINCk500000gdMQW,5,47,-6.448,scored,0
7KI0,active,ZINCk600000EmAGZ,6,11,-7.129,scored,0
7KI0,active,ZINCk600000EmAGZ,6,29,-7.138,scored,0
7KI0,active,ZINCk600000EmAGZ,6,47,-7.223,scored,0
7KI0,active,ZINCk5000003XjkE,7,11,-6.087,scored,0
7KI0,active,ZINCk5000003XjkE,7,29,-5.946,scored,0
7KI0,active,ZINCk5000003XjkE,7,47,-5.935,scored,0
7KI0,active,ZINCk800000gvPBH,8,11,-5.603,scored,0
7KI0,active,ZINCk800000gvPBH,8,29,-5.675,scored,0
7KI0,active,ZINCk800000gvPBH,8,47,-5.67,scored,0
7KI0,active,ZINCk600000Ja5bY,9,11,-7.282,scored,0
7KI0,active,ZINCk600000Ja5bY,9,29,-7.275,scored,0
7KI0,active,ZINCk600000Ja5bY,9,47,-7.278,scored,0
7KI0,active,ZINCk600000y8tEo,10,11,-5.802,scored,0
7KI0,active,ZINCk600000y8tEo,10,29,-6.829,scored,0
7KI0,active,ZINCk600000y8tEo,10,47,-6.282,scored,0
7LCJ,active,ZINCk700000Gfz1H,1,11,-7.179,scored,0
7LCJ,active,ZINCk700000Gfz1H,1,29,-6.866,scored,0
7LCJ,active,ZINCk700000Gfz1H,1,47,-6.826,scored,0
7LCJ,active,ZINCk700001bQgxo,2,11,-7.082,scored,0
7LCJ,active,ZINCk700001bQgxo,2,29,-7.342,scored,0
7LCJ,active,ZINCk700001bQgxo,2,47,-6.702,scored,0
7LCJ,active,ZINCk500000BlHKL,3,11,-7.057,scored,0
7LCJ,active,ZINCk500000BlHKL,3,29,-7.024,scored,0
7LCJ,active,ZINCk500000BlHKL,3,47,-7.069,scored,0
7LCJ,active,ZINCj600000JWMq0,4,11,-8.451,scored,0
7LCJ,active,ZINCj600000JWMq0,4,29,-8.369,scored,0
7LCJ,active,ZINCj600000JWMq0,4,47,-8.43,scored,0
7LCJ,active,ZINCk500000gdMQW,5,11,-6.536,scored,0
