zinc_id,engine_H,ref_H,engine_O,ref_O,engine_cascade,ref_cascade
ZINCk800000FCwWd,35.53084632385342,35.53084632385342,18.427757293460484,18.427757293460484,25.26899290561765,25.268992905617655
ZINCk800000PApCX,38.34275944886656,38.34275944886656,26.776544032298894,26.776544032298894,31.40303019892596,31.40303019892596
ZINCi500000xcpuH,33.53556236164904,33.53556236164904,19.45988308760877,19.459883087608766,25.090154797224876,25.090154797224873
ZINCj600000BmUP2,34.351665344695306,34.351665344695306,17.312748109836367,17.312748109836367,24.128315003779942,24.128315003779942
ZINCi700000cWdHG,34.351665344695306,34.351665344695306,17.241373488090247,17.241373488090247,24.08549023073227,24.08549023073227
ZINCi500000cV1nl,34.932961828358735,34.932961828358735,19.40366444016599,19.40366444016599,25.615383395443093,25.615383395443093
ZINCj500000fdR4c,32.391143412755326,32.391143412755326,18.28635871945938,18.28635871945938,23.92827259677776,23.92827259677776
ZINCi800000FD1cR,32.207787600796564,32.207787600796564,18.784477182055053,18.784477182055053,24.153801349551657,24.153801349551657
ZINCj5000002gt40,32.391143412755326,32.391143412755326,18.62076910236924,18.62076910236924,24.12891882652368,24.128918826523677
ZINCk7000004gxIH,38.92405593253,38.92405593253,21.991319569951003,21.991319569951003,28.7644141149826,28.7644141149826
ZINCk800000JT7rU,34.168309532736544,34.168309532736544,19.208190189623263,19.208190189623263,25.19223792686858,25.19223792686858
ZINCj5000002g3DB,34.932961828358735,34.932961828358735,19.96710635504653,19.967106355046532,25.953448544371412,25.953448544371415
ZINCk700000PzgaI,34.168309532736544,34.168309532736544,18.862090203239408,18.862090203239408,24.984577935038264,24.984577935038264
ZINCk800000AJ8NL,38.70541191054433,38.70541191054433,17.44374783666769,17.44374783666769,25.948413466218344,25.948413466218344
ZINCk700000Gg81q,32.207787600796564,32.207787600796564,19.382819080800058,19.382819080800058,24.51280648879866,24.51280648879866
ZINCj600000JSFiN,36.70208327471477,36.702083274714774,15.55150621314258,15.551506213142579,24.011737037771457,24.011737037771457
