ligand_id,weighted_coverage_pct,native_weighted_coverage_pct,screen_rank,native_rank,rank_shift,abs_rank_shift
ZINCk800000FCGz4,12.623162916314554,27.1614555648564,3410,193,3217,3217
ZINCj6000018T6mM,12.655323455196244,27.1614555648564,3276,194,3082,3082
ZINCk800000JUl0S,13.78190589737825,27.1614555648564,716,195,521,521
ZINCk600000JSQOs,14.76771463940753,27.1614555648564,112,196,-84,84
ZINCk800000gvsin,12.88706136184187,27.1614555648564,2505,197,2308,2308
ZINCk7000009KV2X,12.638784458286995,27.1614555648564,3352,198,3154,3154
ZINCk50000047sSe,13.427631236652376,27.1614555648564,1183,199,984,984
ZINCk6000004cFxT,12.810454968250708,27.1614555648564,2736,200,2536,2536
ZINCk700000y8R3o,12.42998455785374,27.1614555648564,4270,201,4069,4069
ZINCk600000Gfzfl,13.54116515929919,27.1614555648564,1004,202,802,802
ZINCk5000009CgC1,12.42894044649186,27.1614555648564,4277,203,4074,4074
ZINCk500000dqbkl,12.456627837911368,27.1614555648564,4149,204,3945,3945
ZINCi700000cWn6O,13.052507608366646,27.1614555648564,1979,205,1774,1774
ZINCk5000009G1kh,14.53073344540839,27.1614555648564,198,206,-8,8
ZINCk5000009GwT3,13.968829264822366,27.1614555648564,533,207,326,326
ZINCk5000009Gst9,13.70552245956321,27.1614555648564,809,208,601,601
ZINCj500000fhEOB,12.428786136957688,27.1614555648564,4279,209,4070,4070
ZINCk50000047y8Y,13.419935012275296,27.1614555648564,1195,210,985,985
ZINCk50000047jhD,12.17148814525246,27.1614555648564,4875,211,4664,4664
ZINCk50000046oYb,15.339783562232135,27.1614555648564,24,212,-188,188
ZINCk800000FCpwH,13.98222508338277,27.1614555648564,524,213,311,311
ZINCk800000PCwWn,12.983677304179146,27.1614555648564,2201,214,1987,1987
ZINCk8000009M6sh,13.900862306729971,27.1614555648564,586,215,371,371
ZINCk700000x3m25,13.097345836727046,27.1614555648564,1849,216,1633,1633
ZINCk700000GfWHj,12.36536654258522,27.1614555648564,4566,217,4349,4349
ZINCk800000PC8N1,14.132521671276338,27.1614555648564,398,218,180,180
ZINCj600000BmHag,13.150549278859474,27.1614555648564,1703,219,1484,1484
ZINCk500000gczms,14.080193723562989,27.1614555648564,447,220,227,227
ZINCk5000009E7vf,13.66986864098007,27.1614555648564,855,221,634,634
ZINCj500000fkpwU,12.367060905779528,27.1614555648564,4557,222,4335,4335
ZINCk800000Pxox5,14.093670335038416,27.1614555648564,435,223,212,212
ZINCk5000009FyOh,12.955959695342978,27.1614555648564,2296,224,2072,2072
ZINCk500000dpgY7,12.27713384557466,27.1614555648564,4770,225,4545,4545
ZINCj600000foh3p,12.380528272981332,27.1614555648564,4491,226,4265,4265
ZINCk5000009FoXN,13.087464806245547,27.1614555648564,1878,227,1651,1651
ZINCj500000xclCI,12.63914738490098,27.1614555648564,3348,228,3120,3120
ZINCk700000PC3Vl,14.61939207771282,27.1614555648564,165,229,-64,64
ZINCk50000048eDg,14.824780552653722,27.1614555648564,89,230,-141,141
ZINCk50000045f4y,12.500547020314194,27.1614555648564,3926,231,3695,3695
ZINCk8000004je4E,13.587389976069296,27.1614555648564,950,232,718,718
ZINCk800000FCDCv,12.85425776060178,27.1614555648564,2603,233,2370,2370
ZINCh6000018XO5S,12.915425164903574,27.1614555648564,2423,234,2189,2189
