zinc_id,smiles,mw,logp,hbd,hba,rotatable_bonds,lipinski,chemistry_flagged,pains_alert,reactive_flags,hotspot_weighted_pct,hotspot_bits_matched,hotspot_exact_matches,hotspot_compatible_matches,hotspot_exact_residue_count,hotspot_group_count,hotspot_required_groups_pass,native_supported_hotspot_bits_matched,native_supported_hotspot_exact_matches,native_supported_hotspot_exact_residue_count,native_supported_hotspot_weighted_pct,pair_hash_overlap_pct,pair_hash_recall_pct,pair_hash_precision_pct,cascade_score_pct,shortlist_rank
ZINCf5000002rKVS,C=COCCCNC(=O)COCC(=O)O,217.22099999999998,-0.24599999999999939,2,4,9,1,0,,,27.677420660577585,10,5,5,5,3,1,1,1,1,7.932521475509632,11.429926902523558,6.885151096264123,33.62570698777595,15.491800342037065,1080
ZINCf5000000atvh,O=C(O)COCCN1CCC(CO)CC1,217.26499999999996,-0.20810000000000017,2,4,6,1,0,,,25.646848488346297,10,5,5,5,3,1,2,2,2,15.726841794277618,12.10645868305546,7.2775274167592885,35.98187678647448,15.491556134378168,1081
ZINCf50000035JZR,COC[C@H](CN)NCc1ccncc1O,211.26500000000004,-0.1494999999999992,3,5,6,1,0,,,27.848650358614552,9,5,4,5,3,1,0,0,0,0.0,11.3722800581391,6.690308602326543,37.88410886742757,15.491372633257964,1082
ZINCf5000000ao47,O=C(C=Cc1cnc[nH]1)NC[C@H](F)CO,213.212,-0.13050000000000017,3,3,5,1,1,,michael_acceptor,24.989636507389445,8,4,4,4,2,1,0,0,0,0.0,12.324998219210357,7.044488555790504,49.220151828847484,15.491157791255128,1083
ZINCf50000017LS1,COC[C@H](F)CNC(=O)COCC(=O)O,223.19999999999996,-0.8116999999999988,2,4,8,1,0,,,27.677420660577585,10,5,5,5,3,1,1,1,1,7.932521475509632,11.42747105744589,6.885151096264123,33.583241959064324,15.489958458228815,1084
ZINCf5000002O70m,COCCOCCN(C)C[C@](C)(O)CN,220.313,-0.7090999999999976,2,5,9,1,0,,,25.646848488346297,10,5,5,5,3,1,2,2,2,15.726841794277618,12.102948126107762,7.24642865152903,36.69727323316639,15.488923216667397,1085
ZINCf50000009oVq,CN[C@H](C)Cc1noc([C@H]2CC(=O)N2)n1,210.237,-0.21900000000000003,2,5,4,1,0,,,25.669484404688912,9,5,4,5,3,1,1,1,1,7.932521475509632,12.091092545837014,6.950817007818516,46.41869469026549,15.48569051054999,1086
ZINCf5000003neaS,CC(C)NC(=O)NCCc1cc(O)n[nH]1,212.25300000000001,0.3653999999999997,4,3,4,1,0,,,27.848650358614552,9,5,4,5,3,1,0,0,0,0.0,11.36317532497078,6.66359731999126,38.55340121317159,15.484544083381724,1087
ZINCf5000002sdpI,COCOCCCNC(=O)[C@@H](C)C(=O)O,219.237,-0.16609999999999997,2,4,8,1,0,,,23.686326556406325,9,4,5,4,3,1,1,1,1,7.932521475509632,12.748927647999233,7.408008180703139,45.68945672191529,15.483277375101007,1088
ZINCf50000017vaL,CCC(=O)CCC(=O)NC[C@@H](O)[C@H](C)O,217.26500000000001,-0.3963999999999998,3,4,7,1,0,,,27.274089312539918,10,6,4,6,4,1,2,2,2,15.726841794277618,11.55297185438138,6.872717992911999,36.21510445553707,15.483251218921012,1089
