zinc_id,smiles,coverage_pct,anchor_weighted_pct,geometry_penalty_factor,weighted_coverage_pct,features_matched,mw,logp,hbd,hba,rotatable_bonds,lipinski,chemistry_flagged,pains_alert,reactive_flags,hotspot_weighted_pct,hotspot_bits_matched,hotspot_exact_matches,hotspot_compatible_matches,hotspot_exact_residue_count,hotspot_group_count,hotspot_required_groups_pass,native_supported_hotspot_bits_matched,native_supported_hotspot_exact_matches,native_supported_hotspot_exact_residue_count,native_supported_hotspot_weighted_pct,pair_hash_overlap_pct,pair_hash_recall_pct,pair_hash_precision_pct,cascade_score_pct,shortlist_rank,rerank_conformers,best_conformer_id,fit_rmsd_angstrom,mean_pair_distance_error_angstrom,reference_feature_span_angstrom,ligand_feature_span_angstrom,rerank_query_feature_count
ZINCk7000004f8Dd,CNC(=O)Cc1nc(CS(=O)(=O)c2nccn2C)cs1,17.857142857142858,18.287822287125632,0.7542470488229455,13.793535989462997,5,314.39200000000005,0.139,1,7,5,1,,,,21.88062174122295,7,3,4,3,2,1,,,,,11.352532325000055,7.128571530919743,27.861681329423266,13.98455467905578,220,16,0,1.4116518021797804,1.0765945164692456,9.390882812600731,8.737363058689011,28
ZINCk8000004jqlG,Cc1cc(COCC(=O)N(C)CCn2cncn2)no1,14.285714285714286,15.362996609921524,0.8976417211589192,13.790466719088597,4,279.3,0.2497199999999995,0,7,7,1,,,,19.211804584627842,6,3,3,3,2,1,,,,,9.058521392718843,5.560333248024298,24.425244177310283,11.596842190696094,246,16,11,0.685065599300972,0.7250336641115332,6.980676614770233,6.75964759824767,28
CHEMBL2364408,COc1ccc(NS(=O)(=O)c2ccc(-c3cc(C)cs3)s2)cc1N1C[C@@H](C)N[C@@H](C)C1,17.857142857142858,18.259040865655578,0.7534322850547709,13.756950882319325,5,477.6770000000002,4.781020000000004,2,7,6,1,,,,24.862065897148263,8,3,5,3,2,1,,,,,16.319013362111015,10.939451610547192,32.10873983739838,18.454776495870327,91,16,12,1.407605872237235,1.12315108708118,10.81567237854401,10.989728197698199,28
ZINCk600000gpUvV,COc1noc(C)c1CN1CC(c2nnc(O)n2C)C1,17.857142857142858,18.287822287125632,0.7519951704071546,13.7523540371828,5,279.30000000000007,0.4251199999999998,1,8,4,1,,,,21.88062174122295,7,3,4,3,2,1,,,,,12.018234914444045,7.891102993465281,25.196030384709626,14.483831621138771,196,16,5,1.348379468503353,1.1757655276835017,9.390882812600731,9.23999494307946,28
ZINCk800000JSZKR,C[C@@H](NC(=O)Cc1csc(NC=O)n1)c1nncn1C,14.285714285714286,16.17753992324311,0.8453805005332794,13.67617679770837,4,294.34000000000003,0.25979999999999964,2,7,6,1,,,,24.308867652466137,8,3,5,3,2,1,,,,,14.96317558117933,9.830594949083405,31.31044487427465,17.29959859900103,131,16,4,0.9890080449592658,0.859901358024183,11.619609545935706,11.493632922805869,28
ZINCk800000PACto,COCCNCc1cn(-c2[nH]nc3cnccc23)nn1,17.857142857142858,17.54376270517786,0.7792533548196342,13.671035944169427,5,273.3,0.2745999999999989,2,7,6,1,,,,28.416425806587785,9,4,5,4,2,1,,,,,17.84225861010324,11.750369184034168,37.051140008163756,20.485800409224375,40,16,11,1.2911913581700114,0.9844564802321608,12.161105747422809,11.335973795904337,28
CHEMBL4637284,Cc1ccc2[nH]c(C(=O)N[C@H]3CN(S(=O)(=O)c4cnccn4)C[C@@H]3C(=O)NCCN(C)C)cc2c1,17.857142857142858,17.591736721631662,0.7765308177922241,13.660525702834134,5,499.59700000000026,0.36322000000000054,3,7,8,1,,,,33.23974676957568,11,5,6,5,3,1,,,,,24.122824916488224,19.802462072982312,30.854428616015678,26.402055379760085,9,16,9,1.1533756337397394,1.033342436811529,12.649328401144459,11.470559419222473,28
ZINCk8000004iBRf,COCCc1noc(CN(C)C(=O)c2cncn2C)n1,17.857142857142858,18.287822287125632,0.7466860219272098,13.655261273285605,5,279.3,0.26419999999999977,0,7,6,1,,,,19.211804584627842,6,3,3,3,2,1,,,,,8.320055852390613,5.3364709379294935,18.870330230779032,11.042993035449921,250,16,10,1.627817196920096,0.9193373477911028,9.390882812600731,8.493320267813667,28
ZINCj700000JTEZC,COc1cc(N)cc(NC[C@H](CN)CO)c1[N+](=O)[O-],14.285714285714286,16.21068034427277,0.8419343125230797,13.648328011186695,4,270.289,0.16470000000000046,4,7,7,1,,,,30.205494371073204,9,4,5,4,2,1,,,,,13.555906934197228,8.512376756509251,33.265520534861494,17.718303793416222,116,16,14,0.9458672603749039,0.8732018243639449,10.319912257378935,9.716867564307698,28
ZINCk700000vOWnu,COCCC1CN(C(=O)c2c[nH]c(=O)c3ccnn23)C1,14.285714285714286,16.17753992324311,0.8431854884561348,13.640666902198364,4,276.29600000000005,0.13109999999999983,1,5,4,1,,,,21.88062174122295,7,3,4,3,2,1,,,,,11.10254663044732,6.952517910422841,27.543604651162784,13.79706540814123,223,16,7,0.8867248967223187,0.9058320069345354,11.619609545935706,11.032357063016295,28
ZINCk500000cLfyB,OCCn1ncc2c(O)nc(SCc3ncon3)nc21,17.857142857142858,18.287822287125632,0.7442668466151342,13.611019825096966,5,294.296,0.19949999999999962,2,10,5,1,,,,24.862065897148263,8,3,5,3,2,1,,,,,16.99502827949811,10.277522210614109,49.06347995592844,18.96178768391065,73,16,1,1.45971869813292,0.9797346116896026,9.390882812600731,8.068413628209255,28
ZINCk800000xcqB6,O=C(Cc1cnoc1)N1CCN(Cc2cnc[nH]2)CC1,14.285714285714286,16.17753992324311,0.8407560818294889,13.601365079506008,4,275.31200000000007,0.2845999999999998,1,5,4,1,,,,21.88062174122295,7,3,4,3,2,1,,,,,13.154894191368221,8.32106862996908,31.38948884089272,15.336326078831902,172,16,10,1.0058426367235243,0.8500845752906708,11.619609545935706,11.105965897447488,28
CHEMBL2364381,COc1ccc(NS(=O)(=O)c2ccc(-c3ccsc3)s2)cc1N1C[C@@H](C)N[C@@H](C)C1,17.857142857142858,18.259040865655578,0.7447307393093165,13.598069002958702,5,463.65000000000015,4.472600000000004,2,7,6,1,,,,24.862065897148263,8,3,5,3,2,1,,,,,16.75102419567208,10.793748696806356,37.3839238185367,18.778784621041126,81,16,10,1.5905663431583303,1.0411683263424691,10.81567237854401,10.69915411921899,28
ZINCk50000040Was,COCCCS(=O)(=O)NCc1nc(-c2cnn[nH]2)no1,17.857142857142858,18.287822287125632,0.7405198461933763,13.542495347274071,5,302.31600000000003,-0.6893999999999991,2,8,8,1,,,,24.308867652466137,8,3,5,3,2,1,,,,,15.025660068379507,9.8646083679774,31.512802443035003,17.346461964401165,128,16,6,1.3612989953877708,1.2118634655918652,9.390882812600731,8.85021912620441,28
CHEMBL2364354,COc1ccc(NS(=O)(=O)c2ccc(-c3cccc(C)n3)s2)cc1N1C[C@@H](C)N[C@@H](C)C1,17.857142857142858,18.446183725157347,0.7324976471142844,13.511786176915564,5,472.6360000000002,4.114520000000002,2,7,6,1,,,,28.416425806587785,9,4,5,4,2,1,,,,,20.342639277435264,14.43077143056279,34.45983098917639,22.361085909723393,23,16,7,1.3507172831505105,1.2967662380100706,9.177406278464519,9.180253041434483,28
ZINCk800000ciGFd,COC[C@@H](ONC(=O)c1scc2c1OCCO2)C(=O)O,17.857142857142858,18.287822287125632,0.7387012701991104,13.509237552675303,5,303.29200000000003,0.28030000000000016,2,7,6,1,,,,26.683673435319445,9,4,5,4,2,1,,,,,14.380696384547742,9.752251123033028,27.371092164027605,17.45644064724067,124,16,7,1.74661113683978,0.9557821084090218,9.390882812600731,9.517694531930607,28
ZINCk7000009KfII,CCN(CCN=c1[nH]nc(O)s1)C(=O)Cc1cnns1,17.857142857142858,18.287822287125632,0.7369626428288671,13.477441844304764,5,314.396,0.02019999999999922,2,8,6,1,,,,24.308867652466137,8,3,5,3,2,1,,,,,15.323887575587275,9.815503669445805,34.921637426900595,17.570132594806992,120,16,2,1.7480982232733908,0.9500849192243452,9.390882812600731,8.974548227777456,28
ZINCk800000JT7sU,CCN(CC(N)=O)C(=O)c1cc2c(C)nc(C)cn2n1,17.857142857142858,18.287822287125632,0.7368846272387212,13.476015109056549,5,275.312,0.29353999999999925,1,5,4,1,,,,21.88062174122295,7,3,4,3,2,1,,,,,10.955652183562353,7.131370894025976,23.624645368200323,13.686894572977504,226,16,11,1.554919238044266,1.1127506817492052,9.390882812600731,9.666460787481775,28
