stage3_screen_rank,zinc_id,smiles,coverage_pct,anchor_weighted_pct,geometry_penalty_factor,weighted_coverage_pct,features_matched,mw,logp,hbd,hba,rotatable_bonds,lipinski,chemistry_flagged,pains_alert,reactive_flags,hotspot_weighted_pct,hotspot_bits_matched,hotspot_exact_matches,hotspot_compatible_matches,hotspot_exact_residue_count,hotspot_group_count,hotspot_required_groups_pass,native_supported_hotspot_bits_matched,native_supported_hotspot_exact_matches,native_supported_hotspot_exact_residue_count,native_supported_hotspot_weighted_pct,pair_hash_overlap_pct,pair_hash_recall_pct,pair_hash_precision_pct,cascade_score_pct,shortlist_rank,rerank_conformers,best_conformer_id,fit_rmsd_angstrom,mean_pair_distance_error_angstrom,reference_feature_span_angstrom,ligand_feature_span_angstrom,rerank_query_feature_count,pool_source_stage3_rank,pool_source_hotspot_breadth,pool_source_native_support,pool_primary_source,murcko_scaffold,native_candidate_pool_rank,native_selection_rank,source_input_rank
1401,ZINCf50000017MlU,COCc1nsc(N2C[C@@H](N)[C@H](N)C2)n1,10.714285714285714,11.981941257253466,0.7028443990175418,8.421440302017801,3,229.309,-0.8408999999999984,2,7,3,1,,,,28.21669349662532,10,5,5,5,3,1,,,,,11.376252239848275,6.831845948750566,33.97720351518316,15.586362554042536,1010,16,2,1.4273626718853851,1.404617688502828,9.433491135311456,8.916261404144842,28,0,0,1,native_supported_hotspot_score,c1nsc(N2CCCC2)n1,1170,544,544
1367,ZINCf5000002KqM6,Cn1ncc(=NC(=O)NC[C@@H]2CCO2)[nH]1,10.714285714285714,13.397478468997424,0.6639239824677731,8.894907260163013,3,211.225,-0.8525999999999996,2,4,2,1,,,,28.21669349662532,10,5,5,5,3,1,,,,,11.36561402817327,6.670163363696399,38.39064909371273,15.578383895286285,1015,16,7,1.196567568105002,1.7281980984025709,5.971881696751884,4.832325937587586,28,0,0,1,native_supported_hotspot_score,O=C(N=c1cn[nH][nH]1)NCC1CCO1,1171,545,545
1134,ZINCf50000043T97,CNC(=O)C=CC(=O)NCc1csnn1,14.285714285714286,16.628609428741346,0.6017645986253672,10.006508478584532,4,226.261,-0.5435000000000003,2,5,4,1,,,,28.21669349662532,10,5,5,5,3,1,,,,,11.224146278697352,6.7221379086187625,33.98462021343377,15.472283083179343,1104,16,6,1.4089751519838924,1.8914916379503133,9.711946045978635,7.995740326548165,28,0,0,1,native_supported_hotspot_score,c1csnn1,1174,546,546
1449,ZINCf5000002sJd0,Cc1cc(C(=O)N[C@@H]2CNOC2)cn1C,10.714285714285714,13.397478468997424,0.5464661949542383,7.321269080934356,3,209.249,-0.0332800000000002,2,4,2,1,,,,28.21669349662532,10,5,5,5,3,1,,,,,11.139665775685769,6.679458155231812,33.52795470629866,15.408922705920656,1152,16,12,1.300117831104668,2.2267488151460206,5.971881696751884,3.6239411469594063,28,0,0,1,native_supported_hotspot_score,O=C(NC1CNOC1)c1cc[nH]c1,1175,547,547
953,ZINCf50000009g1w,CN(Cc1nc[nH]n1)C[C@H]1CCC(=O)N1,10.714285714285714,13.397478468997424,0.7850894652829926,10.518219207365592,3,209.253,-0.4848999999999998,2,4,4,1,,,,28.21669349662532,10,5,5,5,3,1,,,,,10.998469384168285,6.581721315922283,33.4363763921775,15.303025412282542,1255,16,9,1.1768174144151446,1.0617391413050588,5.971881696751884,6.574256971960644,28,0,0,1,native_supported_hotspot_score,O=C1CCC(CNCc2nc[nH]n2)N1,1178,548,548
1445,ZINCf5000000Zw0T,Cc1nnc(C(=O)N[C@@H]2COC[C@@H]2O)s1,10.714285714285714,13.397478468997424,0.5535478868198632,7.41614589522814,3,229.261,-0.6639800000000002,2,6,2,1,,,,28.21669349662532,10,5,5,5,3,1,,,,,10.819671814945712,6.42953260700581,34.11084529505583,15.168927235365617,1375,16,15,1.2824820372238368,2.1951218134541626,5.971881696751884,3.67460206839001,28,0,0,1,native_supported_hotspot_score,O=C(NC1CCOC1)c1nncs1,1181,549,549
1443,ZINCf50000026iBP,Cc1ncc(C(=O)N[C@@H]2COC[C@@H]2O)s1,10.714285714285714,13.397478468997424,0.5599880867065381,7.502428334545907,3,228.273,-0.0589800000000004,2,5,2,1,,,,28.21669349662532,10,5,5,5,3,1,,,,,10.81812739987078,6.42953260700581,34.08016764758339,15.167768924059416,1376,16,10,1.2640570843205836,2.164937390929225,5.971881696751884,3.709753627118917,28,0,0,1,native_supported_hotspot_score,O=C(NC1CCOC1)c1cncs1,1182,550,550
1059,ZINCf5000002egfh,NS(=O)(=O)C[C@@H]1CCN1Cc1cnc[nH]1,10.714285714285714,13.397478468997424,0.7650412491340854,10.249623663168803,3,230.293,-0.7274999999999994,2,4,4,1,,,,28.21669349662532,10,5,5,5,3,1,,,,,10.812392033824766,6.549923024078305,30.960331916616056,15.163467399524905,1380,16,6,1.28259142873255,1.142561163287995,5.971881696751884,6.123895461163661,28,0,0,1,native_supported_hotspot_score,c1ncc(CN2CCC2)[nH]1,1183,551,551
1415,ZINCf500000259qx,O=C(NNC1CCOCC1)c1nc[nH]n1,14.285714285714286,13.94583583618139,0.5856914849789691,8.167957300166,4,211.225,-0.7819000000000005,3,5,3,1,,,,28.21669349662532,10,5,5,5,3,1,,,,,10.76649235993776,6.438899982378368,32.83480214273373,15.12904264410965,1425,16,8,1.5823576003088935,1.645597061079343,9.078045219098652,6.582665821738631,28,0,0,1,native_supported_hotspot_score,O=C(NNC1CCOCC1)c1nc[nH]n1,1185,552,552
1205,ZINCf50000035sdj,CN1CC=C(C(=O)NCc2nc[nH]n2)C1,10.714285714285714,13.397478468997424,0.7280779533796727,9.754408704155876,3,207.237,-0.7073,2,4,3,1,,,,28.21669349662532,10,5,5,5,3,1,,,,,10.75482016485859,6.4176502444989705,33.17535545023698,15.12028849780027,1436,16,11,1.3759882495239268,1.169534110393717,5.971881696751884,7.196351415900017,28,0,0,1,native_supported_hotspot_score,O=C(NCc1nc[nH]n1)C1=CCNC1,1186,553,553
