zinc_id,smiles,mw,logp,hbd,hba,rotatable_bonds,lipinski,chemistry_flagged,pains_alert,reactive_flags,hotspot_weighted_pct,hotspot_bits_matched,hotspot_exact_matches,hotspot_compatible_matches,hotspot_exact_residue_count,hotspot_group_count,hotspot_required_groups_pass,native_supported_hotspot_bits_matched,native_supported_hotspot_exact_matches,native_supported_hotspot_exact_residue_count,native_supported_hotspot_weighted_pct,pair_hash_overlap_pct,pair_hash_recall_pct,pair_hash_precision_pct,cascade_score_pct,shortlist_rank
ZINCk800000xc4gw,Cc1ncc([N+](=O)[O-])n1CC(=O)NCc1nc(Br)n[nH]1,344.12899999999996,0.29671999999999976,2,7,5,1,0,,,48.677564434215746,13,10,3,10,3,1,0,0,0,0.0,25.15533396933777,16.163676646152076,56.69291532780878,31.035891585557263,41
ZINCk800000drUZq,CNC(=O)c1nnc(NC(=O)c2cc(COC)no2)s1,297.296,0.2843999999999996,2,8,5,1,0,,,41.96382881457838,14,9,5,9,3,1,0,0,0,0.0,27.22944992631596,18.635876733192628,50.53070446583651,30.913044648381565,42
ZINCj600000xcUli,O=C(O)COCCOCCNC(=O)c1c[nH]nc1Br,336.142,0.01979999999999993,3,5,9,1,0,,,39.322212118541785,13,8,5,8,3,1,0,0,0,0.0,28.092234573969154,19.368888182547057,51.11203928716079,30.89972896011231,43
ZINCk500000dp3ZE,COCc1nc(C(=O)NCCc2nnc(CO)s2)no1,299.312,-0.46770000000000017,2,9,7,1,0,,,38.252511530249585,13,8,5,8,3,1,0,0,0,0.0,28.331341930341736,18.724409415803482,58.18360181743082,30.8116343303187,44
ZINCk500000470C5,Nc1ncc(C(=O)NCCOCCCO)cc1[N+](=O)[O-],284.272,-0.29919999999999985,3,7,8,1,0,,,47.66290137427477,13,10,3,10,3,1,0,0,0,0.0,25.131172420415364,15.962391577805837,59.0486606637218,30.76410465888022,45
ZINCk7000018Tshr,NCCCCNCCC(=O)NCc1nc(C(=O)O)cs1,300.384,0.1761000000000008,4,6,10,1,0,,,37.36242343423808,13,8,5,8,3,1,0,0,0,0.0,28.537394012330875,19.09889975409437,56.419249452654604,30.74365136780768,46
ZINCk800001bPO03,CO[C@H](CCC(=O)O)CNCc1c([N+](=O)[O-])cnn1C,286.288,0.29770000000000013,2,7,9,1,0,,,47.48674562757669,14,11,3,11,3,1,0,0,0,0.0,25.08708028915384,16.25647401726499,54.91984006092915,30.686996623759555,47
ZINCk500000g7vn1,C=C[C@H](O)C(=O)NCCCCNC(=O)c1nsnc1O,300.34,-0.5832000000000005,4,7,8,1,0,,,37.36242343423808,13,8,5,8,3,1,0,0,0,0.0,28.37003937108531,18.88882500911768,56.96204161516274,30.6181353868735,48
ZINCk500000dqn2i,O=[N+]([O-])c1cnn(C[C@H](O)CNCCc2cn[nH]c2)c1,280.288,-0.2924,3,7,8,1,0,,,46.93753382038521,12,9,3,9,3,1,0,0,0,0.0,24.99119080785712,15.862192272152459,58.87474640131387,30.477776560989145,49
ZINCj8000002q0L3,CN(C)CC#CCNC(=O)c1cnc2c[nH]nc2c1,257.297,0.2527000000000005,2,4,3,1,0,,,38.252511530249585,13,8,5,8,3,1,0,0,0,0.0,27.788569765972703,18.421319832776096,56.53834541062802,30.404555207041923,50
ZINCj8000002oAIw,Cc1noc(CN(C)Cc2nnc(O)o2)c1[N+](=O)[O-],269.21700000000004,0.6118199999999998,1,9,5,1,0,,,46.49559374159927,13,10,3,10,3,1,0,0,0,0.0,24.909240318851644,15.973587199359804,56.53504533967594,30.30582867453855,51
ZINCk700000x5jqU,CO[C@@H](CCO)CNc1sc(S(N)(=O)=O)cc1[N+](=O)[O-],325.36800000000005,0.11299999999999993,3,8,8,1,0,,,45.77914680119088,13,10,3,10,3,1,0,0,0,0.0,25.077426202958357,15.94261410415427,58.72669745168459,30.25285635251649,52
ZINCk7000009KXOr,Cc1cc(COCC(=O)NCCN=c2[nH]nco2)no1,281.272,-0.46717999999999926,2,7,7,1,0,,,40.14744452357138,13,8,5,8,3,1,0,0,0,0.0,26.953090299693883,18.06866455379343,53.02631578947371,30.251678855663254,53
ZINCj500000d6P6F,C[C@@H](O)[C@H](NCCCn1ccc([N+](=O)[O-])n1)C(=O)O,272.26099999999997,-0.39500000000000074,3,7,8,1,0,,,43.951584089945975,12,9,3,9,3,1,0,0,0,0.0,25.663636024069696,16.217645730266593,61.46263068078268,30.235623040538766,54
ZINCk50000041f8S,COCCn1cc(CNC(=O)c2cc(CN)on2)cn1,279.29999999999995,-0.09379999999999955,2,7,7,1,0,,,38.252511530249585,13,8,5,8,3,1,0,0,0,0.0,27.555053513755983,18.11924485080212,57.49760241128921,30.229418017879382,55
ZINCj5000002heDb,O=C(NCCn1cc([N+](=O)[O-])cn1)c1csc(O)n1,283.269,0.3833999999999999,2,8,5,1,0,,,46.82874835576401,12,9,3,9,3,1,0,0,0,0.0,24.677215619347155,15.518176869993368,60.21970106248874,30.21509880345137,56
CHEMBL5808134,C[C@H]1CC[C@H](Cn2ccc3nc(-c4n[nH]c(=O)o4)nc(-c4cncc(Cl)c4)c32)CC1,424.8920000000002,4.316300000000004,1,7,4,1,0,,,43.09930989910112,12,8,4,8,3,1,0,0,0,0.0,25.82461854460473,16.948135337878217,54.22423105349936,30.143291383228828,57
ZINCk600000J9Qy0,CC[C@H](N[C@@H](C)CCn1cnc([N+](=O)[O-])n1)C(=O)NC,284.32,0.07910000000000089,2,7,8,1,0,,,43.77542834324789,13,10,3,10,3,1,0,0,0,0.0,25.54100520077982,16.241411798921646,59.756962728921636,30.09961098639684,58
