stage3_screen_rank,zinc_id,smiles,coverage_pct,anchor_weighted_pct,geometry_penalty_factor,weighted_coverage_pct,features_matched,mw,logp,hbd,hba,rotatable_bonds,lipinski,chemistry_flagged,pains_alert,reactive_flags,hotspot_weighted_pct,hotspot_bits_matched,hotspot_exact_matches,hotspot_compatible_matches,hotspot_exact_residue_count,hotspot_group_count,hotspot_required_groups_pass,native_supported_hotspot_bits_matched,native_supported_hotspot_exact_matches,native_supported_hotspot_exact_residue_count,native_supported_hotspot_weighted_pct,pair_hash_overlap_pct,pair_hash_recall_pct,pair_hash_precision_pct,cascade_score_pct,shortlist_rank,rerank_conformers,best_conformer_id,fit_rmsd_angstrom,mean_pair_distance_error_angstrom,reference_feature_span_angstrom,ligand_feature_span_angstrom,rerank_query_feature_count
23,ZINCk800000PzEYm,Cn1ncc(-c2cn(Cc3ccns3)nn2)c1C(N)=O,17.857142857142858,18.614658157328254,0.7682366529836164,14.300462679220031,5,289.32400000000007,0.2822999999999999,1,8,4,1,,,,23.50426427259268,8,3,5,3,2,1,,,,,10.297345762644524,6.408550425299789,26.18947368421053,13.599075390131562,68,16,2,1.4712373170410398,0.9845663788051195,7.8947932208513265,7.951017073025062,28
24,ZINCk600000EmqbV,CCOC(=O)CS(=O)(=O)Nc1nc(O)ccc1[N+](=O)[O-],17.857142857142858,18.614658157328254,0.763586514483172,14.213901940650027,5,305.2680000000001,0.00019999999999986695,2,8,6,1,,,,29.359912564617336,9,4,5,4,2,1,,,,,6.498540929949008,3.917673244220462,19.044774137873816,12.21388383861609,136,16,1,1.100194008004583,1.1251609201917219,7.8947932208513265,6.608333962970708,28
25,CHEMBL2431120,COc1cc2nc(C3CC3)nc(N3CCN(c4ccccc4OC)CC3)c2cc1OC,17.857142857142858,19.333574592865542,0.725420185461091,14.024965266782358,5,420.51300000000026,3.859600000000003,0,7,6,1,,,,27.54773352994046,9,5,4,5,2,1,,,,,12.855475927207635,9.440456824973714,20.14153511159501,16.528540327890838,18,16,3,1.5349310932278455,1.2078979988838985,10.122770668152079,10.089579437496397,28
26,ZINCk800000PBwvN,C[S@@](=O)CCCNc1cc(N2CCS(=O)CC2)ncn1,17.857142857142858,18.614658157328254,0.7487001509057575,13.936797371450753,5,316.4520000000001,0.22580000000000022,1,6,6,1,,,,20.25392540258232,6,3,3,3,3,1,,,,,5.068032165987497,2.9269560490137327,18.87553912507702,8.864505475136204,339,16,8,1.5779189021818238,0.9213645808796178,7.8947932208513265,8.924683775938037,28
27,ZINCi700000136U0,Cn1cc(C(=O)CSc2nnc3nc[nH]n23)cn1,17.857142857142858,18.614658157328254,0.7451864178485487,13.871390431734707,5,263.286,0.16089999999999988,1,8,4,1,,,,23.50426427259268,8,3,5,3,2,1,,,,,10.14108938344641,6.294037103191882,26.08450704225353,13.481883105732978,75,16,4,1.2110207134786595,1.0742874019984243,7.8947932208513265,6.251499549815414,28
28,CHEMBL1446377,COc1cc2nc(C3CCC3)nc(N3CCN(c4ccccc4OC)CC3)c2cc1OC,17.857142857142858,19.333574592865542,0.7145927333621065,13.815631913975963,5,434.54000000000025,4.249700000000003,0,7,6,1,,,,27.54773352994046,9,5,4,5,2,1,,,,,12.826508611735369,9.440456824973714,20.000000000000018,16.506814841286644,19,16,2,1.5822093500125345,1.238750770955828,10.122770668152079,10.306796561015528,28
29,ZINCk6000004dMm9,Nc1c(Br)cnn1CC(=O)NCC(=O)c1cnccn1,17.857142857142858,18.646621874888975,0.7407843867742905,13.8131263510017,5,339.1530000000001,0.01689999999999947,2,7,5,1,,,,25.65051816665506,9,3,6,3,2,1,,,,,10.599323664205516,6.718715790624928,25.092013888888893,14.362122289817902,48,16,11,1.4077218842138484,1.1682234991215439,10.122770668152079,9.504127668828653,28
30,ZINCi60000011AhG,O=[N+]([O-])c1cn(C[C@@H](O)COc2cnsn2)cn1,17.857142857142858,18.614658157328254,0.7363484027675354,13.706873802212334,5,271.258,0.08269999999999961,1,9,6,1,,,,30.71184253871794,9,5,4,5,2,1,,,,,10.833195397353707,6.3685450052012715,36.237138319176836,15.802857182694765,24,16,10,1.5270750788487524,1.1010891211158946,7.8947932208513265,7.223081188929799,28
31,CHEMBL2431121,COc1cc2nc(C3CCCC3)nc(N3CCN(c4ccccc4OC)CC3)c2cc1OC,17.857142857142858,19.333574592865542,0.7052539565909075,13.635079976663867,5,448.56700000000023,4.639800000000005,0,7,6,1,,,,27.54773352994046,9,5,4,5,2,1,,,,,12.826508611735369,9.440456824973714,20.000000000000018,16.506814841286644,20,16,4,1.7956978637893235,1.125753122662622,10.122770668152079,9.729193366467458,28
32,ZINCk7000004f2jz,CN(Cc1cnsn1)Cc1nc(O)c2cnn(C)c2n1,17.857142857142858,18.646621874888975,0.730764772922448,13.626294400173993,5,291.34000000000003,0.5524,1,9,4,1,,,,23.50426427259268,8,3,5,3,2,1,,,,,10.47279481798996,6.698714076936628,23.98736867674744,13.730662181640641,63,16,0,1.4236387206349257,1.2193685830707353,10.122770668152079,9.502485765658527,28
