stage3_screen_rank,zinc_id,smiles,coverage_pct,anchor_weighted_pct,geometry_penalty_factor,weighted_coverage_pct,features_matched,mw,logp,hbd,hba,rotatable_bonds,lipinski,chemistry_flagged,pains_alert,reactive_flags,hotspot_weighted_pct,hotspot_bits_matched,hotspot_exact_matches,hotspot_compatible_matches,hotspot_exact_residue_count,hotspot_group_count,hotspot_required_groups_pass,native_supported_hotspot_bits_matched,native_supported_hotspot_exact_matches,native_supported_hotspot_exact_residue_count,native_supported_hotspot_weighted_pct,pair_hash_overlap_pct,pair_hash_recall_pct,pair_hash_precision_pct,cascade_score_pct,shortlist_rank,rerank_conformers,best_conformer_id,fit_rmsd_angstrom,mean_pair_distance_error_angstrom,reference_feature_span_angstrom,ligand_feature_span_angstrom,rerank_query_feature_count,pool_source_stage3_rank,pool_source_hotspot_breadth,pool_source_native_support,pool_primary_source,murcko_scaffold,native_candidate_pool_rank,native_selection_rank,source_input_rank
164,ZINCf5000000a5ui,C[S@@](=O)CCNC(=O)c1ccc[n+]([O-])c1,14.285714285714286,14.490870376529076,0.8214672937537417,11.903776072343604,4,228.273,-0.5717000000000003,1,3,4,1,,,,23.389241285881766,6,4,2,4,3,1,,,,,4.833653269977727,2.7155027822560984,21.973296199213635,9.472550273953736,328,16,13,0.9777081794354588,1.0019192314708214,7.509116392758873,7.1788019960499625,28,1,1,1,stage3_rank,c1cc[nH+]cc1,11,11,11
31,ZINCk800000PBwvN,C[S@@](=O)CCCNc1cc(N2CCS(=O)CC2)ncn1,17.857142857142858,18.61465815732825,0.7487001509057575,13.936797371450751,5,316.4520000000001,0.2258000000000002,1,6,6,1,,,,20.25392540258232,6,3,3,3,3,1,,,,,5.068032165987497,2.9269560490137327,18.87553912507702,8.864505475136204,353,16,8,1.5779189021818238,0.9213645808796178,7.8947932208513265,8.924683775938037,28,1,1,1,stage3_rank,O=S1CCN(c2ccncn2)CC1,12,12,12
113,CHEMBL3099777,COc1cccc(OC)c1-c1nc(C(=O)N[C@@H](CC(C)C)C(=O)O)cn1-c1ccnc2ccccc12,17.857142857142858,19.37081096862443,0.6468916546595507,12.53081595959083,5,488.5440000000002,4.333800000000003,2,7,9,1,,,,36.732170222337295,12,6,6,6,2,1,,,,,17.84721042732737,14.315875115323148,23.69117647058825,22.56845037607985,6,16,0,1.7088888594931346,1.4993368171656567,10.35189885962957,9.3082397505751,28,1,1,1,stage3_rank,c1ccc(-c2nccn2-c2ccnc3ccccc23)cc1,13,13,13
7,CHEMBL463811,CC(C)C[C@H](NC(=O)Cn1ccc2cc(NS(=O)(=O)c3cccc4cccnc34)ccc21)C(=O)O,21.428571428571427,22.066174593310517,0.7248313635808104,15.994255419481494,6,494.57300000000026,3.605800000000001,3,6,9,1,,,,35.997125514953936,12,5,7,5,2,1,,,,,20.59579658032982,15.83103743614728,29.46363882130305,24.44612881398585,3,16,5,1.5062847535155772,1.161312558659754,10.12277066815208,9.249942182887466,28,1,1,1,stage3_rank,O=S(=O)(Nc1ccc2[nH]ccc2c1)c1cccc2cccnc12,14,14,14
41,CHEMBL462830,COc1ccccc1-c1cc(C(=O)N[C@@H](CC(C)C)C(=O)O)nn1-c1ccnc2cc(Cl)ccc12,17.857142857142858,19.333574592865546,0.7013104199877774,13.558837317587557,5,492.96300000000014,4.978600000000004,2,6,8,1,,,,33.39071482145173,11,5,6,5,2,1,,,,,17.631820105975198,12.886994082778576,27.90671473636775,21.571543784844334,7,16,11,1.884980035212339,1.0762625522787743,10.12277066815208,10.588200565176995,28,1,1,1,stage3_rank,c1ccc(-c2ccnn2-c2ccnc3ccccc23)cc1,15,15,15
90,CHEMBL3099769,COc1cccc(OC)c1-c1nc(C(=O)N[C@@H](CC(C)C)C(=O)O)cn1-c1cccc2ccccc12,17.857142857142858,19.37081096862443,0.6615324986597206,12.814420981139245,5,487.5560000000002,4.938800000000004,2,6,9,1,,,,33.39071482145173,11,5,6,5,2,1,,,,,15.010488309483351,11.374510424296822,22.063221274460616,19.60554493747545,16,16,8,1.8065563223105816,1.4212505558151185,10.35189885962957,10.15877429347044,28,1,1,1,stage3_rank,c1ccc(-c2nccn2-c2cccc3ccccc23)cc1,16,16,16
178,ZINCk7000018Th5o,COCCNC(=O)[C@@H](C#N)C(=O)c1cc([N+](=O)[O-])sn1,14.285714285714286,15.88205815688328,0.7423854862193897,11.790609466962415,4,298.28,0.13638,1,8,7,1,,,,33.32402722009792,10,6,4,6,2,1,,,,,11.08943356309469,7.134652054713469,24.88128016651508,16.648081977345498,23,16,11,1.327767942970237,1.172971835966826,6.493394566788621,7.41148272189595,28,1,1,1,stage3_rank,c1cnsc1,17,17,17
8,CHEMBL3315204,CC(C)C[C@H](NC(=O)Cn1ccc2cc(Nc3ccc4cnccc4c3)ccc21)C(=O)O,21.428571428571427,21.527267045397863,0.7398350773540819,15.926627279753909,6,430.50800000000015,4.548600000000002,3,5,8,1,,,,32.61416334874785,11,4,7,4,2,1,,,,,19.7820350116067,13.949838575889196,33.99462434404201,22.990067095891987,5,16,5,1.6598798377429942,1.0076722670420426,12.790023064873656,13.137373721467496,28,1,1,1,stage3_rank,c1cc2cc(Nc3ccc4[nH]ccc4c3)ccc2cn1,18,18,18
209,ZINCk800000JSzji,CCCCOC[C@H](O)CNC(=O)c1cc([N+](=O)[O-])n[nH]1,14.285714285714286,15.88205815688328,0.7247355428299608,11.51029203958581,4,286.28799999999995,0.2252999999999997,3,6,9,1,,,,31.82571746489658,10,4,6,4,2,1,,,,,8.175806045619035,5.33666162777463,17.469953851089564,14.088283900438425,57,16,0,1.5344542951068696,1.2099418803322124,6.493394566788621,6.32359617015385,28,1,1,1,stage3_rank,c1cn[nH]c1,19,19,19
43,ZINCj7000002nQur,COC[C@@H](CO)Nc1nccc(C(=O)O)c1[N+](=O)[O-],17.857142857142858,18.61465815732825,0.7279359550383352,13.55027896346688,5,271.229,0.1072000000000001,3,7,7,1,,,,31.82571746489658,10,4,6,4,2,1,,,,,6.679668639127113,4.240655174932224,15.72242206235012,12.96618084556948,105,16,15,1.64686244272502,1.078614760371473,7.8947932208513265,8.437176940549326,28,1,1,1,stage3_rank,c1ccncc1,20,20,20
