stage3_screen_rank,zinc_id,smiles,coverage_pct,anchor_weighted_pct,geometry_penalty_factor,weighted_coverage_pct,features_matched,mw,logp,hbd,hba,rotatable_bonds,lipinski,chemistry_flagged,pains_alert,reactive_flags,hotspot_weighted_pct,hotspot_bits_matched,hotspot_exact_matches,hotspot_compatible_matches,hotspot_exact_residue_count,hotspot_group_count,hotspot_required_groups_pass,native_supported_hotspot_bits_matched,native_supported_hotspot_exact_matches,native_supported_hotspot_exact_residue_count,native_supported_hotspot_weighted_pct,pair_hash_overlap_pct,pair_hash_recall_pct,pair_hash_precision_pct,cascade_score_pct,shortlist_rank,rerank_conformers,best_conformer_id,fit_rmsd_angstrom,mean_pair_distance_error_angstrom,reference_feature_span_angstrom,ligand_feature_span_angstrom,rerank_query_feature_count,pool_source_stage3_rank,pool_source_hotspot_breadth,pool_source_native_support,pool_primary_source,murcko_scaffold,native_candidate_pool_rank,native_selection_rank,source_input_rank
166,ZINCi800000Bn9ye,O=[N+]([O-])c1ncc(NCC[C@@H](O)CCO)cc1O,14.285714285714286,16.21068034427277,0.7269085509880195,11.78368215958529,4,257.246,0.2406999999999997,4,7,7,1,,,,30.205494371073204,9,4,5,4,2,1,,,,,15.38272412811676,9.925106774226949,34.17471539048756,19.08841668885587,74,16,8,1.0794940613530697,1.329346907376122,10.319912257378936,8.88189524235634,28,1,1,1,stage3_rank,c1ccncc1,21,21,21
52,ZINCj700000JTEZC,COc1cc(N)cc(NC[C@H](CN)CO)c1[N+](=O)[O-],14.285714285714286,16.21068034427277,0.8419343125230797,13.648328011186695,4,270.289,0.1647000000000004,4,7,7,1,,,,30.205494371073204,9,4,5,4,2,1,,,,,13.555906934197228,8.512376756509251,33.265520534861494,17.718303793416222,120,16,14,0.945867260374904,0.8732018243639449,10.319912257378936,9.716867564307698,28,1,1,1,stage3_rank,c1ccccc1,22,22,22
12,ZINCj600000JU75f,Nc1nonc1C(=NO)Sc1cnc(C(=O)O)cn1,17.857142857142858,18.287822287125632,0.8305834808749761,15.189563092863777,5,282.241,0.0680999999999996,3,10,3,1,,,,30.00988505211415,10,4,6,4,2,1,,,,,24.439238578787,16.273041159501105,49.05740730225428,25.831900197118784,10,16,1,1.0722331606003996,0.8602044043584186,9.390882812600733,8.823614084430456,28,1,1,1,stage3_rank,N=C(Sc1cnccn1)c1cnon1,23,23,23
13,CHEMBL382844,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)C(=O)N1CCC2=NNC(=O)[C@@]2(Cc2ccccc2)C1,21.428571428571427,21.88380660626072,0.6908565873209073,15.118571949592004,6,491.5920000000003,1.3725000000000025,3,6,9,1,,,,30.00988505211415,10,4,6,4,2,1,,,,,23.85654244154737,18.191363363124307,34.646067970756775,25.394878094189067,11,16,8,1.6348293112542474,1.3330752858959016,11.827453064798013,11.325411557972348,28,1,1,1,stage3_rank,O=C(CCOCc1ccccc1)N1CCC2=NNC(=O)C2(Cc2ccccc2)C1,24,24,24
11,CHEMBL4645148,Cc1ccc2[nH]c(C(=O)N[C@H]3CN(S(=O)(=O)c4cccnc4)C[C@@H]3C(=O)NCCN(C)C)cc2c1,21.428571428571427,21.93916582688174,0.6985522783946679,15.32565427444668,6,498.60900000000026,0.968220000000001,3,6,8,1,,,,30.00988505211415,10,4,6,4,2,1,,,,,22.062441861080387,17.237909371553304,30.63714063714064,24.04930265883883,15,16,13,1.4914527684168513,1.2077285194990897,12.64932840114446,11.132697351563728,28,1,1,1,stage3_rank,O=C(NC1CCN(S(=O)(=O)c2cccnc2)C1)c1cc2ccccc2[nH]1,25,25,25
22,CHEMBL130229,CCOC(=O)[C@@H](CCc1ccccc1)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)C(C)(C)N,21.428571428571427,21.88380660626072,0.6642539450406005,14.536404870714236,6,478.5930000000003,2.6132,4,5,11,1,,,,29.626577682298024,10,3,7,3,2,1,,,,,22.31905831146995,16.644400137584338,33.864728856842426,24.145938154176967,14,16,3,1.6426667943667137,1.3292353973964235,11.827453064798013,10.324070864529515,28,1,1,1,stage3_rank,O=C(CCc1c[nH]c2ccccc12)NCCCc1ccccc1,26,26,26
2,CHEMBL259166,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnnn1CCCC(=O)NCCSCCO,21.428571428571427,21.88380660626072,0.7891659744846733,17.26995556586387,6,493.6340000000004,0.4064000000000001,4,10,16,1,,,,29.07337943761589,10,3,7,3,2,1,,,,,25.96539846135383,21.10013945912662,33.74669312169311,26.742393705419342,7,16,9,1.4578633656813442,0.8050947078769345,11.827453064798013,11.117223050895973,28,1,1,1,stage3_rank,c1ccc(COCCc2nnn[nH]2)cc1,27,27,27
58,CHEMBL2364354,COc1ccc(NS(=O)(=O)c2ccc(-c3cccc(C)n3)s2)cc1N1C[C@@H](C)N[C@@H](C)C1,17.857142857142858,18.446183725157347,0.7324976471142844,13.511786176915564,5,472.6360000000002,4.114520000000002,2,7,6,1,,,,28.416425806587785,9,4,5,4,2,1,,,,,20.342639277435264,14.43077143056279,34.45983098917639,22.361085909723396,24,16,7,1.3507172831505103,1.2967662380100706,9.17740627846452,9.180253041434485,28,1,1,1,stage3_rank,O=S(=O)(Nc1cccc(N2CCNCC2)c1)c1ccc(-c2ccccn2)s1,28,28,28
65,CHEMBL272540,COc1ccc(N2C[C@@H](C)N[C@@H](C)C2)cc1NS(=O)(=O)c1ccc(-c2cnco2)s1,17.857142857142858,18.331759532222502,0.7311236963566987,13.402783789920662,5,448.57000000000016,3.3991000000000016,2,8,6,1,,,,28.416425806587785,9,4,5,4,2,1,,,,,19.8419709695213,13.756688676472049,35.581457129574275,21.98558467878792,28,16,2,1.4929264337788128,1.1212091359503098,12.279310281933592,11.348260002894175,28,1,1,1,stage3_rank,O=S(=O)(Nc1cccc(N2CCNCC2)c1)c1ccc(-c2cnco2)s1,29,29,29
5,CHEMBL260819,COc1ccc(F)c(-c2ccc(S(=O)(=O)Nc3cc(N4C[C@@H](C)N[C@@H](C)C4)ccc3OC)cc2)c1,17.857142857142858,18.331759532222502,0.9029972742998292,16.553528890716834,5,499.6080000000003,4.497300000000004,2,6,7,1,,,,28.416425806587785,9,4,5,4,2,1,,,,,19.65623974844089,14.17386352849438,32.05491186804892,21.84628626297761,29,16,5,0.6317010017999627,0.6736324979468413,12.279310281933592,11.613951764981936,28,1,1,1,stage3_rank,O=S(=O)(Nc1cccc(N2CCNCC2)c1)c1ccc(-c2ccccc2)cc1,30,30,30
105,CHEMBL2364468,COc1ccc(N2C[C@@H](C)N[C@@H](C)C2)cc1NS(=O)(=O)c1ccc(-c2ccc(C)o2)cc1Cl,17.857142857142858,18.953448192927706,0.6665865508131577,12.634113656939553,5,490.0250000000002,4.904420000000004,2,6,6,1,,,,28.416425806587785,9,4,5,4,2,1,,,,,19.039306234591447,13.756688676472049,30.908143774960934,21.383586127590533,37,16,7,1.7663016597629213,1.405934310880258,8.254082929072135,8.648744081167514,28,1,1,1,stage3_rank,O=S(=O)(Nc1cccc(N2CCNCC2)c1)c1ccc(-c2ccco2)cc1,31,31,31
