system,shortlist_fraction,n_native_scored,n_actives_retained,active_retention,compute_reduction,n_input,n_actives_input,n_candidates
GLP-1R,0.2844414490199701,8049,9,0.9,3.7656851782830167,30310,10,28297
GLP-1R,0.3111668982502514,8806,9,0.9,3.4419713831478536,30310,10,28297
GLP-1R,0.340403407802512,9633,9,0.9,3.146475656597114,30310,10,28297
GLP-1R,0.3723869109958247,10538,9,0.9,2.876257354336686,30310,10,28297
GLP-1R,0.4073755088887481,11528,9,0.9,2.6292505204718943,30310,10,28297
GLP-1R,0.44565155310796406,12611,9,0.9,2.403457299183253,30310,10,28297
GLP-1R,0.4875239243745958,13796,9,0.9,2.197013627138301,30310,10,28297
GLP-1R,0.5333305251154955,15092,9,0.9,2.00834879406308,30310,10,28297
GLP-1R,0.5834410062744237,16510,9,0.9,1.8358570563294974,30310,10,28297
GLP-1R,0.6382597503279897,18061,9,0.9,1.6782016499640109,30310,10,28297
GLP-1R,0.6982291345787537,19758,9,0.9,1.5340621520396802,30310,10,28297
GLP-1R,0.7638331010596642,21615,9,0.9,1.402266944251677,30310,10,28297
GLP-1R,0.8356010618583211,23646,9,0.9,1.2818235642391949,30310,10,28297
GLP-1R,0.9141121713763147,25867,9,0.9,1.1717632504735764,30310,10,28297
GLP-1R,1.0,28297,9,0.9,1.0711382832102343,30310,10,28297
GHSR,0.005,2,1,0.02,15775.0,31550,50,267
GHSR,0.005469788234491888,2,1,0.02,15775.0,31550,50,267
GHSR,0.005983716666037179,2,1,0.02,15775.0,31550,50,267
GHSR,0.006545932603684639,2,1,0.02,15775.0,31550,50,267
GHSR,0.007160973027882212,2,1,0.02,15775.0,31550,50,267
GHSR,0.007833801203084776,3,2,0.04,10516.666666666666,31550,50,267
GHSR,0.008569846730396303,3,2,0.04,10516.666666666666,31550,50,267
GHSR,0.009375049363464097,3,2,0.04,10516.666666666666,31550,50,267
GHSR,0.01025590694121132,3,2,0.04,10516.666666666666,31550,50,267
GHSR,0.011219527824216275,3,2,0.04,10516.666666666666,31550,50,267
GHSR,0.012273688257890505,4,3,0.06,7887.5,31550,50,267
GHSR,0.01342689512536615,4,3,0.06,7887.5,31550,50,267
GHSR,0.014688454596496845,4,3,0.06,7887.5,31550,50,267
GHSR,0.01606854722695735,5,3,0.06,6310.0,31550,50,267
GHSR,0.017578310113477717,5,3,0.06,6310.0,31550,50,267
GHSR,0.01922992676819004,6,4,0.08,5258.333333333333,31550,50,267
GHSR,0.021036725437357306,6,4,0.08,5258.333333333333,31550,50,267
